,lat,lon,fire_x,fire_y,I4,I5,D/N
240,48.335495,-102.803474,871,5900,308.5889,287.36957,False
241,48.25761,-102.72314,881,5918,297.20276,284.37082,False
242,48.25761,-102.72314,881,5918,297.20276,284.37082,False
243,48.25761,-102.72314,881,5918,297.20276,284.37082,False
244,48.25761,-102.72314,881,5918,297.20276,284.37082,False
245,48.25761,-102.72314,881,5918,297.20276,284.37082,False
246,48.255535,-102.71693,881,5919,295.5036,284.8719,False
247,48.255535,-102.71693,881,5919,295.5036,284.8719,False
248,48.255535,-102.71693,881,5919,295.5036,284.8719,False
249,48.255535,-102.71693,881,5919,295.5036,284.8719,False
250,48.255535,-102.71693,881,5919,295.5036,284.8719,False
251,48.253498,-102.72622,882,5918,300.56055,284.12628,False
252,48.253498,-102.72622,882,5918,300.56055,284.12628,False
253,48.253498,-102.72622,882,5918,300.56055,284.12628,False
254,48.253498,-102.72622,882,5918,300.56055,284.12628,False
255,48.253498,-102.72622,882,5918,300.56055,284.12628,False
256,48.251423,-102.72001,882,5919,297.32513,284.77924,False
257,48.251423,-102.72001,882,5919,297.32513,284.77924,False
258,48.251423,-102.72001,882,5919,297.32513,284.77924,False
259,48.251423,-102.72001,882,5919,297.32513,284.77924,False
260,48.251423,-102.72001,882,5919,297.32513,284.77924,False
261,48.42845,-103.466064,904,5802,295.5105,286.30243,False
262,48.42845,-103.466064,904,5802,295.5105,286.30243,False
263,48.42845,-103.466064,904,5802,295.5105,286.30243,False
264,48.42845,-103.466064,904,5802,295.5105,286.30243,False
265,48.42845,-103.466064,904,5802,295.5105,286.30243,False
266,48.400486,-103.48658,911,5802,294.45624,285.81354,False
267,48.400486,-103.48658,911,5802,294.45624,285.81354,False
268,48.400486,-103.48658,911,5802,294.45624,285.81354,False
269,48.400486,-103.48658,911,5802,294.45624,285.81354,False
270,48.400486,-103.48658,911,5802,294.45624,285.81354,False
271,48.398354,-103.495255,912,5801,293.57904,286.4087,False
272,48.398354,-103.495255,912,5801,293.57904,286.4087,False
273,48.398354,-103.495255,912,5801,293.57904,286.4087,False
274,48.398354,-103.495255,912,5801,293.57904,286.4087,False
275,48.398354,-103.495255,912,5801,293.57904,286.4087,False
276,48.30886,-103.23599,913,5846,300.29672,286.9742,False
277,48.30886,-103.23599,913,5846,300.29672,286.9742,False
278,48.30886,-103.23599,913,5846,300.29672,286.9742,False
279,48.30886,-103.23599,913,5846,300.29672,286.9742,False
280,48.30886,-103.23599,913,5846,300.29672,286.9742,False
281,48.304817,-103.23897,914,5846,299.86536,286.79565,False
282,48.304817,-103.23897,914,5846,299.86536,286.79565,False
283,48.304817,-103.23897,914,5846,299.86536,286.79565,False
284,48.304817,-103.23897,914,5846,299.86536,286.79565,False
285,48.304817,-103.23897,914,5846,299.86536,286.79565,False
286,51.221596,-114.48795,919,3938,294.08182,284.81573,False
287,51.221596,-114.48795,919,3938,294.08182,284.81573,False
288,51.221596,-114.48795,919,3938,294.08182,284.81573,False
289,51.221596,-114.48795,919,3938,294.08182,284.81573,False
